smiles,latent_1,latent_2,latent_3,HBD,HBA,heavy_atoms,MW,has_heteroatoms,has_halogens,has_charges,protonatable_sites,calculation_type,cluster_id,dft_representative,distance_to_dft,distance_to_centroid,is_cluster_center,centroid_latent_1,centroid_latent_2,centroid_latent_3
CC[C@H](CO)Nc1cnccc1C#N,3.805249151261008,-1.160392732994979,-4.075384052846927,2,4,14,191.234,True,False,False,4,PM7,238,912080,0.1659591732247962,0.2011532380796822,False,3.9363113991512786,-1.311362926387131,-4.053173400559639
CC[C@H](C)NCCc1cnc(C)cn1,4.04464929916138,-1.1837205430390636,-3.934495367744605,1,3,14,193.29399999999998,True,False,False,3,PM7,238,912080,0.16851357829694966,0.20521733376647286,False,3.9363113991512786,-1.311362926387131,-4.053173400559639
CC[C@@H](C)NCCc1cnc(C)cn1,4.04464929916138,-1.1837205430390636,-3.934495367744605,1,3,14,193.29399999999998,True,False,False,3,PM7,238,912080,0.16851357829694966,0.20521733376647286,False,3.9363113991512786,-1.311362926387131,-4.053173400559639
CC(C)C[C@@H](C)NCc1ncccn1,3.898138145423705,-1.0889223366131764,-3.964950515511634,1,3,14,193.294,True,False,False,3,PM7,238,912080,0.172305870792396,0.24232269956677183,False,3.9363113991512786,-1.311362926387131,-4.053173400559639
CC(C)C[C@H](C)NCc1ncccn1,3.898138145423705,-1.0889223366131764,-3.964950515511634,1,3,14,193.294,True,False,False,3,PM7,238,912080,0.172305870792396,0.24232269956677183,False,3.9363113991512786,-1.311362926387131,-4.053173400559639
CCC(CC)Nc1cncc(C#N)n1,3.835605380820074,-1.4188085511945847,-4.001739910255093,1,4,14,190.25,True,False,False,4,PM7,238,912080,0.17350380029775833,0.15598611586707603,False,3.9363113991512786,-1.311362926387131,-4.053173400559639
C[C@@H](CCO)CNCc1ccccc1,4.0129119756088825,-1.2051435205416248,-3.862864250933636,2,2,14,193.29000000000002,True,False,False,2,PM7,238,912080,0.17354798945278319,0.23101468118537807,False,3.9363113991512786,-1.311362926387131,-4.053173400559639
C[C@H](CCO)CNCc1ccccc1,4.0129119756088825,-1.2051435205416248,-3.862864250933636,2,2,14,193.29000000000002,True,False,False,2,PM7,238,912080,0.17354798945278319,0.23101468118537807,False,3.9363113991512786,-1.311362926387131,-4.053173400559639
CC(C)CCNc1ncncc1C#N,3.96823538063522,-1.152300371422767,-4.108480547343143,1,4,14,190.25,True,False,False,4,PM7,238,912080,0.17556044656153566,0.1714027930662462,False,3.9363113991512786,-1.311362926387131,-4.053173400559639
Cc1ccc(CN[C@@H](C)CCO)cn1,3.8687573560786777,-1.1301839665866638,-4.09959288014683,2,3,14,194.278,True,False,False,3,PM7,238,912080,0.1759487083595458,0.19885706498633587,False,3.9363113991512786,-1.311362926387131,-4.053173400559639
Cc1ccc(CN[C@H](C)CCO)cn1,3.8687573560786777,-1.1301839665866638,-4.09959288014683,2,3,14,194.278,True,False,False,3,PM7,238,912080,0.1759487083595458,0.19885706498633587,False,3.9363113991512786,-1.311362926387131,-4.053173400559639
CN(CC#N)C[C@H](O)c1ccccn1,3.7719748808128246,-1.1785305510271402,-3.89249834680188,1,4,14,191.234,True,False,False,4,PM7,238,912080,0.18053750694234655,0.26545697222608644,False,3.9363113991512786,-1.311362926387131,-4.053173400559639
CN(CC#N)C[C@@H](O)c1ccccn1,3.7719748808128246,-1.1785305510271402,-3.89249834680188,1,4,14,191.234,True,False,False,4,PM7,238,912080,0.18053750694234655,0.26545697222608644,False,3.9363113991512786,-1.311362926387131,-4.053173400559639
