original_index,smiles,latent_1,latent_2,latent_3,HBD,HBA,heavy_atoms,MW,has_heteroatoms,has_halogens,has_charges,protonatable_sites,cluster_id,calculation_type,is_cluster_center,distance_to_centroid,dft_representative,distance_to_dft,centroid_latent_1,centroid_latent_2,centroid_latent_3
439208,C[C@@H](CO)NCC1CCN(C)CC1,-2.212250451961052,0.3125330872621537,-3.35070444319022,2,3,13,186.29899999999995,True,False,False,3,130,DFT,True,0.033035904747406857,527257,0.0,-2.218812757867626,0.32310114970393355,-3.3201001428405155
612060,CO[C]1C=CC(=C(C)N)C=C1,2.200529096297953,-0.0436216886255993,1.5513625268207007,1,2,11,150.20100000000002,True,False,False,2,131,DFT,True,0.013945058131591992,498971,0.0,2.2012519858345354,-0.030578287758967954,1.5464827962089005
1016846,CNC[C@@H](C)Cc1ccc(OC)cc1,3.556963602941781,-1.3531595453028502,-1.3568935243303737,1,2,14,193.29,True,False,False,2,132,DFT,True,0.062107844131917375,433044,0.0,3.611909584611076,-1.327436525273484,-1.3701844852317118
103687,CCN(C)C(=O)NC[C@@H](C)N,-0.4831014187818639,-3.71911597052012,0.0695622762452524,2,2,11,159.23299999999998,True,False,False,4,133,DFT,True,0.013550208370516884,274441,0.0,-0.47695237713725347,-3.727153165884617,0.07857343179879725
326081,C[C@@H]1CN(CC2CC2)C[C@@H]1O,-4.106921380342775,4.883091718948247,-1.6564550916582104,1,2,11,155.241,True,False,False,2,134,DFT,True,0.09515900688371295,557262,0.0,-4.136671705621454,4.928265186100673,-1.5781638877950945
343098,C[C@H]1NCC[C@@H]1NC(=O)C1CCC1,-4.3361374609001135,3.114862553672361,2.9103803048600483,2,2,13,182.26699999999997,True,False,False,3,135,DFT,True,0.095198551252908,635348,0.0,-4.351774467248341,3.207601280762566,2.89562304594091
345039,CCNCCNC(=O)NCC1(C)CC1,-2.1079737868292714,-3.5697796171075864,1.270643299841404,3,2,14,199.29799999999994,True,False,False,4,136,DFT,True,0.05447614611673689,293382,0.0,-2.1082824538967984,-3.533019531264026,1.2304406717040848
56191,O=C1N[C@@H]2C[C@H]1[C@H]1O[C@@H]21,-0.5025437402992066,2.27490584756405,0.7762243723754039,1,2,9,125.12699999999998,True,False,False,3,137,DFT,True,0.07351171981576728,792407,0.0,-0.5639031305976354,2.286404466869291,0.8150416356296583
396002,C[C@@H](O)CCCN1C[C@H]2COC[C@H]2C1,-3.3289151834507558,2.2563322102353958,-3.909292951407369,1,3,14,199.29399999999998,True,False,False,3,138,DFT,True,0.0971131602280206,539008,0.0,-3.421215143262458,2.263063452990762,-3.879858725084945
590571,Cc1ccnc2nc(S)[nH]c12,4.593144803454829,2.163901864869743,-0.4252286026707957,2,3,11,165.22100000000003,True,False,False,3,139,DFT,True,0.04820995553133976,666097,0.0,4.588928231766578,2.2115183852940166,-0.43148058781283954
16667,C[C@@H]1C[C@H]1NC(=O)[C@@H](N)CC(N)=O,-2.483093256393141,-1.4469531089433956,4.543451563848774,3,3,13,185.22699999999998,True,False,False,5,140,DFT,True,0.0516575563677036,568588,0.0,-2.453973069943515,-1.4635245767709328,4.504133574008723
937514,C=CC[C@@H](C)NC(=O)NOCC(=C)C,-1.348596088957123,-6.074437085047248,4.094651809459752,2,2,14,198.26599999999996,True,False,False,4,141,DFT,True,0.017183477761290127,89135,0.0,-1.3621027456743349,-6.067703985239153,4.086435514718789
805322,CCCCCN(C)CCN,-0.2606094195844881,-3.3994879261556723,-3.962728117854409,1,2,10,144.262,True,False,False,2,142,DFT,True,0.01441676714741152,232636,0.0,-0.25275238630011165,-3.408040896998724,-3.9541866371450243
769879,CC(C)CNC1(CN(C)C)CCC1,-1.435175466268927,-1.71317174771939,-2.0668928359245498,1,2,13,184.32699999999994,True,False,False,2,143,DFT,True,0.07390154139886046,155395,0.0,-1.4847927853527678,-1.6853472446232904,-2.1140665202783815
831669,Nc1cc(C2C[C@@H]3C[C@H]3C2)no1,0.6771969710063337,3.82105927000264,-0.1007674172648047,1,3,12,164.20799999999997,True,False,False,3,144,DFT,True,0.052628723933254296,746810,0.0,0.6909733216118512,3.816238026176115,-0.05020309827599852
1169946,Cc1cccc(-c2csc(N)n2)c1,6.746815362514086,2.704718795974108,-0.0160907159013521,1,3,13,190.271,True,False,False,2,145,DFT,True,0.10031894241259229,660998,0.0,6.7190147969698195,2.7733778760204686,0.05156243989634454
144955,NC(N)=N/N=C/c1ccc[nH]1,2.876040419098393,1.1105411703349892,2.2449909823069505,3,2,11,151.173,True,False,False,5,146,DFT,True,0.07302923951527479,721163,0.0,2.858959099561202,1.0937278267251966,2.1760068549753186
490586,C=CCCONC(=O)[C@@H](O)CCC,-1.3348667782934585,-6.655121194491272,-0.097924436616753,2,3,13,187.23899999999995,True,False,False,4,147,DFT,True,0.033227534141573124,75427,0.0,-1.3173914838661862,-6.632215242195252,-0.11447739584530157
123643,C[C@@H](NO)C(=O)O,-0.1084656769553176,-1.487306944855783,1.7516211647697166,3,3,7,105.09299999999999,True,False,False,4,148,DFT,True,0.09113775675534604,536323,0.0,-0.052925419864116585,-1.4710636155583137,1.8220308572983301
650847,CCCN1CC[C@H](NC[C@@H]2C[C@@H]2C)C1,-4.724564546559889,3.316675791558874,-2.7559272628899567,1,2,14,196.33799999999997,True,False,False,2,149,DFT,True,0.12996644184456635,248912,0.0,-4.647544568326953,3.4185116870869248,-2.780189359681766
551402,CCOC(=O)Nc1cccc(N)c1,4.402164831538021,-0.3496337112771948,2.9395551401598032,2,3,13,180.207,True,False,False,4,150,DFT,True,0.06517782794383845,300854,0.0,4.423586491799166,-0.29033315492060696,2.9560689447769053
874263,CCC/C=C/C(=O)NCCCN(C)C,-1.2482874654440923,-6.171694678420207,1.2391704096155411,1,2,14,198.30999999999997,True,False,False,3,151,DFT,True,0.10201480263863867,220733,0.0,-1.2654641974903917,-6.237099949671271,1.3155518885628927
227182,C[C@@H]([C@@H]1CCNC1)N(C)C,-1.4792719449929466,1.4436223516171944,-1.1090487578766577,1,2,10,142.246,True,False,False,2,152,DFT,True,0.02837788271571367,545818,0.0,-1.464380595493015,1.4199437546057998,-1.104265873697665
211919,CCN(C)C(C)(C)C(=O)O,-0.1829151462244442,-2.3913868019658517,1.0033730513724428,1,2,10,145.202,True,False,False,3,153,DFT,True,0.058217885076868925,275190,0.0,-0.1676043132365089,-2.3384689700915793,1.0222039729049994
160922,C/N=C(/NC)N1CC[C@@H](C(=O)O)C1,-2.18897007010855,0.5034159216045221,4.491756037601838,2,2,13,185.22699999999998,True,False,False,5,154,DFT,True,0.08057205699614811,41514,0.0,-2.2640944502973683,0.47759162633057617,4.478291653344083
270433,CC(=O)NCCN1CCC[C@@H]1C,-2.8973089454337155,1.0255116743450738,0.5713275067440791,1,2,12,170.256,True,False,False,3,155,DFT,True,0.06837091534638431,119784,0.0,-2.916777077920279,1.0065695214646768,0.5085838319469831
