smiles,latent_1,latent_2,latent_3,HBD,HBA,heavy_atoms,MW,has_heteroatoms,has_halogens,has_charges,protonatable_sites,calculation_type,cluster_id,is_cluster_center,distance_to_centroid,centroid_latent_1,centroid_latent_2,centroid_latent_3
Cc1cc([C@H](C)N[C@H](C)CO)nn1C,2.2171027341380025,-1.3709201885976576,-3.948176035811709,2,4,14,197.28199999999998,True,False,False,4,DFT,31,True,0.03602756555539049,2.2475440232995894,-1.3852742493570647,-3.935320129241425
OC[C@H]1CN(Cc2ccon2)C[C@@H]1O,-0.1947078941228211,4.514771302682065,-2.707690960897445,2,5,14,198.22199999999998,True,False,False,5,DFT,32,True,0.0707971992920237,-0.22090312094621659,4.4603045938702,-2.6708204964242532
C[C@@H](NC(=O)CC(C)(C)O)C(N)=O,-0.6405833592867941,-3.7359215676082655,3.3372276805600234,3,3,13,188.22699999999998,True,False,False,5,DFT,33,True,0.023852769195963817,-0.6333584640617467,-3.758653375675996,3.337084889541829
CCCC[C@@H](C)[C@H](C)NCCCC#N,-0.7875357701630759,-5.914873276387474,-7.070921615667317,1,2,14,196.33799999999994,True,False,False,2,DFT,34,True,0.14685044374416298,-0.802217939345004,-6.052250732357803,-7.120690293840353
CCCC[C@@H](C)NC[C@H]1C[C@@H](N)C1,-2.4692018278272543,-1.6354281752583044,-3.754675129908048,2,2,13,184.32699999999997,True,False,False,2,DFT,35,True,0.054721315993041315,-2.4602275087481265,-1.5818302054763294,-3.7482609537078826
C[C@@H]1CCNCC[C@]1(C)O,-1.7514665178277415,2.9876470534083905,0.1344568884708507,2,2,10,143.23,True,False,False,2,DFT,36,True,0.046840655660122736,-1.7650723001150381,2.9670336379787026,0.09465717973643938
OCCSC[C@H]1CCCOC1,-3.2173965206951056,2.920497556287014,-2.8203500991971864,1,3,11,176.28099999999995,True,False,False,2,DFT,37,True,0.059535446006291536,-3.207880845194193,2.9162549281800736,-2.761733366452384
O=C(CC1(CO)CC1)OCC1CC1,-2.1909077006433666,-0.2575931849475684,1.7088722898148223,1,3,13,184.23499999999996,True,False,False,3,DFT,38,True,0.039701705210074295,-2.175241046263914,-0.2726208433176445,1.7421130903625632
Cc1ccc([C@H](C)CNCCO)cc1,3.394994644771669,-1.0439545909312415,-2.8465674899427142,2,2,14,193.29,True,False,False,2,DFT,39,True,0.06733830445825764,3.4219642670283323,-1.1047453257378055,-2.8571303155269936
C1C[C@H](CNC2CC2)CN1,-3.706100083989547,4.457950863165292,-0.4917080914932631,2,2,10,140.23,True,False,False,2,DFT,40,True,0.06151483955487599,-3.6696717728150534,4.458988501810969,-0.4421502774123596
CNCCN(C)C(=O)Cc1ncc[nH]1,1.7368336222293683,-2.280050423084269,0.835509801249672,2,3,14,196.254,True,False,False,5,DFT,41,True,0.06180235442627062,1.7792289542091457,-2.247414829921349,0.8045730125045679
O=C1NC(=O)[C@@H]2CC[C@H]12,0.0008624270632551,1.9896904242869025,1.4005683227158243,1,2,9,125.12699999999998,True,False,False,3,DFT,42,True,0.04116426428296177,-0.004727330168139532,2.030021953971767,1.4066196846559569
C#CC(=O)NCCCC(=O)OC(C)C,-1.125161645902351,-5.59241263749964,2.7458853965982075,1,3,14,197.23399999999998,True,False,False,4,DFT,43,True,0.03333020021906384,-1.1258597871331948,-5.593037936430602,2.7792024169738596
C[C@H](O)CN[C@@H](C)CN(C)C,-0.4230955906122397,-4.168438738252026,-4.823195560934557,2,3,11,160.26099999999997,True,False,False,3,DFT,44,True,0.014519838710151637,-0.42798523061486554,-4.177256524127015,-4.83364370857308
CC[C@H](C)C(=O)N1CC[C@@](C)(CN)C1,-1.5641106998377146,-0.4793860010432278,0.5277530338473453,1,2,14,198.30999999999997,True,False,False,3,DFT,45,True,0.057036918040322133,-1.5919905576278617,-0.4586377323543738,0.5729794961847282
CC#CC(=O)N1C[C@@H](O)[C@H](CC)C1,-2.5869747688654847,1.455737216376944,0.4940421645878431,1,2,13,181.23499999999996,True,False,False,3,DFT,46,True,0.04468195107457847,-2.595975057694303,1.4876128399297088,0.5240324326085077
CCNCC(=O)NCC(=O)OC,-1.0860352552064776,-5.035852733660167,5.216021038072723,2,4,12,174.2,True,False,False,5,DFT,47,True,0.048833829525799934,-1.053162960360281,-5.019723519388817,5.183709993758302
C[C@H](NCCCO)c1ccc(=O)[nH]n1,2.2503231401285912,-0.7718667426738424,-1.7317214157901928,3,4,14,197.238,True,False,False,5,DFT,48,True,0.024067941463151245,2.2553530075108696,-0.7776806926721446,-1.7545285248969518
CCC(=O)Nc1nc(C)nn1C,2.526147281918588,-0.4257619960814448,1.2639297539039631,1,4,12,168.2,True,False,False,5,DFT,49,True,0.03859310542341046,2.5538975994355813,-0.4145825067732829,1.2883093905447587
CNCCN(C)C(=O)C1(O)CNC1,-1.2000607956227105,-1.5922044196231169,0.9357331989295954,3,4,13,187.24299999999997,True,False,False,5,DFT,50,True,0.01873901880569495,-1.1937523910156447,-1.6097923011658355,0.9371549161845506
OCCN[C@H]1CCC=CCC/C1=N/O,-0.8485539108517276,1.2488907190115492,-1.0229671316893674,3,4,14,198.26599999999996,True,False,False,4,DFT,51,True,0.059594860719988346,-0.8501639886585827,1.3075910142994545,-1.0331273682418998
